Path,Line Coverage,Function Coverage,Region Coverage
src/nghttp2/lib/nghttp2_hd.c,0.00% (0/1649),0.00% (0/81),0.00% (0/1052)
src/nghttp2/lib/nghttp2_hd_huffman.c,0.00% (0/88),0.00% (0/5),0.00% (0/49)
src/nghttp2/lib/nghttp2_helper.c,0.00% (0/246),0.00% (0/14),0.00% (0/139)
src/nghttp2/lib/nghttp2_http.c,0.00% (0/410),0.00% (0/17),0.00% (0/382)
src/nghttp2/lib/nghttp2_map.c,0.00% (0/129),0.00% (0/12),0.00% (0/69)
src/nghttp2/lib/nghttp2_mem.c,0.00% (0/32),0.00% (0/10),0.00% (0/10)
src/nghttp2/lib/nghttp2_outbound_item.c,0.00% (0/86),0.00% (0/5),0.00% (0/32)
src/nghttp2/lib/nghttp2_pq.c,0.00% (0/133),0.00% (0/13),0.00% (0/73)
src/nghttp2/lib/nghttp2_priority_spec.c,0.00% (0/21),0.00% (0/4),0.00% (0/20)
src/nghttp2/lib/nghttp2_rcbuf.c,0.00% (0/49),0.00% (0/7),0.00% (0/23)
src/nghttp2/lib/nghttp2_session.c,0.00% (0/5359),0.00% (0/190),0.00% (0/3407)
src/nghttp2/lib/nghttp2_stream.c,0.00% (0/548),0.00% (0/50),0.00% (0/306)
src/nghttp2/lib/nghttp2_submit.c,0.00% (0/555),0.00% (0/23),0.00% (0/297)
src/nghttp2/lib/nghttp2_version.c,0.00% (0/5),0.00% (0/1),0.00% (0/5)
src/openssl/crypto/LPdir_unix.c,0.00% (0/48),0.00% (0/2),0.00% (0/26)
src/openssl/crypto/aes/aes_misc.c,0.00% (0/10),0.00% (0/3),0.00% (0/3)
src/openssl/crypto/aes/aes_wrap.c,0.00% (0/7),0.00% (0/2),0.00% (0/2)
src/openssl/crypto/asn1/a_bitstr.c,0.00% (0/157),0.00% (0/6),0.00% (0/148)
src/openssl/crypto/asn1/a_bool.c,0.00% (0/41),0.00% (0/2),0.00% (0/26)
src/openssl/crypto/asn1/a_bytes.c,0.00% (0/207),0.00% (0/5),0.00% (0/167)
src/openssl/crypto/asn1/a_d2i_fp.c,0.00% (0/169),0.00% (0/5),0.00% (0/141)
src/openssl/crypto/asn1/a_digest.c,0.00% (0/30),0.00% (0/2),0.00% (0/23)
src/openssl/crypto/asn1/a_dup.c,0.00% (0/37),0.00% (0/2),0.00% (0/21)
src/openssl/crypto/asn1/a_enum.c,0.00% (0/97),0.00% (0/4),0.00% (0/91)
src/openssl/crypto/asn1/a_gentm.c,0.00% (0/156),0.00% (0/5),0.00% (0/160)
src/openssl/crypto/asn1/a_i2d_fp.c,0.00% (0/72),0.00% (0/4),0.00% (0/47)
src/openssl/crypto/asn1/a_int.c,0.00% (0/294),0.00% (0/9),0.00% (0/266)
src/openssl/crypto/asn1/a_mbstr.c,0.00% (0/252),0.00% (0/11),0.00% (0/225)
src/openssl/crypto/asn1/a_object.c,0.00% (0/283),0.00% (0/9),0.00% (0/263)
src/openssl/crypto/asn1/a_octet.c,0.00% (0/9),0.00% (0/3),0.00% (0/6)
src/openssl/crypto/asn1/a_print.c,0.00% (0/55),0.00% (0/2),0.00% (0/84)
src/openssl/crypto/asn1/a_set.c,0.00% (0/119),0.00% (0/3),0.00% (0/175)
src/openssl/crypto/asn1/a_sign.c,0.00% (0/159),0.00% (0/3),0.00% (0/143)
src/openssl/crypto/asn1/a_strex.c,0.00% (0/400),0.00% (0/14),0.00% (0/347)
src/openssl/crypto/asn1/a_strnid.c,0.00% (0/94),0.00% (0/9),0.00% (0/99)
src/openssl/crypto/asn1/a_time.c,0.00% (0/98),0.00% (0/7),0.00% (0/98)
src/openssl/crypto/asn1/a_type.c,0.00% (0/77),0.00% (0/4),0.00% (0/90)
src/openssl/crypto/asn1/a_utctm.c,0.00% (0/170),0.00% (0/6),0.00% (0/176)
src/openssl/crypto/asn1/a_utf8.c,0.00% (0/149),0.00% (0/2),0.00% (0/137)
src/openssl/crypto/asn1/a_verify.c,0.00% (0/112),0.00% (0/2),0.00% (0/106)
src/openssl/crypto/asn1/ameth_lib.c,40.85% (96/235),47.37% (9/19),26.04% (44/169)
src/openssl/crypto/asn1/asn1_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/asn1/asn1_gen.c,0.00% (0/529),0.00% (0/10),0.00% (0/560)
src/openssl/crypto/asn1/asn1_lib.c,0.00% (0/330),0.00% (0/27),0.00% (0/251)
src/openssl/crypto/asn1/asn1_par.c,0.00% (0/297),0.00% (0/5),0.00% (0/322)
src/openssl/crypto/asn1/asn_mime.c,0.00% (0/642),0.00% (0/24),0.00% (0/741)
src/openssl/crypto/asn1/asn_moid.c,4.62% (3/65),25.00% (1/4),1.92% (1/52)
src/openssl/crypto/asn1/asn_pack.c,0.00% (0/102),0.00% (0/6),0.00% (0/96)
src/openssl/crypto/asn1/bio_asn1.c,0.00% (0/259),0.00% (0/18),0.00% (0/183)
