Path,Line Coverage,Function Coverage,Region Coverage
src/openssl/crypto/asn1/p5_pbe.c,0.00% (0/54),0.00% (0/2),0.00% (0/53)
src/openssl/crypto/asn1/p5_pbev2.c,0.00% (0/118),0.00% (0/3),0.00% (0/116)
src/openssl/crypto/asn1/p5_scrypt.c,0.00% (0/158),0.00% (0/3),0.00% (0/142)
src/openssl/crypto/asn1/p8_pkey.c,0.00% (0/38),0.00% (0/5),0.00% (0/29)
src/openssl/crypto/asn1/t_pkey.c,0.00% (0/59),0.00% (0/2),0.00% (0/70)
src/openssl/crypto/asn1/tasn_dec.c,0.00% (0/795),0.00% (0/13),0.00% (0/788)
src/openssl/crypto/asn1/tasn_enc.c,0.00% (0/401),0.00% (0/9),0.00% (0/409)
src/openssl/crypto/asn1/tasn_fre.c,0.00% (0/155),0.00% (0/5),0.00% (0/139)
src/openssl/crypto/asn1/tasn_new.c,0.00% (0/247),0.00% (0/8),0.00% (0/234)
src/openssl/crypto/asn1/tasn_prn.c,0.00% (0/393),0.00% (0/21),0.00% (0/381)
src/openssl/crypto/asn1/tasn_typ.c,0.00% (0/8),0.00% (0/2),0.00% (0/3)
src/openssl/crypto/asn1/tasn_utl.c,0.00% (0/144),0.00% (0/10),0.00% (0/128)
src/openssl/crypto/asn1/x_algor.c,0.00% (0/72),0.00% (0/5),0.00% (0/70)
src/openssl/crypto/asn1/x_bignum.c,0.00% (0/70),0.00% (0/7),0.00% (0/54)
src/openssl/crypto/asn1/x_info.c,0.00% (0/18),0.00% (0/2),0.00% (0/19)
src/openssl/crypto/asn1/x_int64.c,0.00% (0/128),0.00% (0/12),0.00% (0/149)
src/openssl/crypto/asn1/x_pkey.c,0.00% (0/25),0.00% (0/2),0.00% (0/26)
src/openssl/crypto/asn1/x_sig.c,0.00% (0/12),0.00% (0/2),0.00% (0/10)
src/openssl/crypto/async/arch/async_posix.c,0.00% (0/25),0.00% (0/4),0.00% (0/17)
src/openssl/crypto/async/arch/async_posix.h,0.00% (0/12),0.00% (0/1),0.00% (0/9)
src/openssl/crypto/async/async.c,0.00% (0/297),0.00% (0/20),0.00% (0/264)
src/openssl/crypto/async/async_err.c,100.00% (9/9),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/async/async_wait.c,0.00% (0/146),0.00% (0/8),0.00% (0/103)
src/openssl/crypto/bf/bf_cfb64.c,0.00% (0/52),0.00% (0/1),0.00% (0/21)
src/openssl/crypto/bf/bf_ecb.c,0.00% (0/19),0.00% (0/2),0.00% (0/10)
src/openssl/crypto/bf/bf_enc.c,0.00% (0/127),0.00% (0/3),0.00% (0/94)
src/openssl/crypto/bf/bf_ofb64.c,0.00% (0/40),0.00% (0/1),0.00% (0/16)
src/openssl/crypto/bf/bf_skey.c,0.00% (0/42),0.00% (0/1),0.00% (0/25)
src/openssl/crypto/bio/b_addr.c,0.00% (0/564),0.00% (0/28),0.00% (0/435)
src/openssl/crypto/bio/b_dump.c,0.00% (0/89),0.00% (0/9),0.00% (0/66)
src/openssl/crypto/bio/b_print.c,18.73% (127/678),41.67% (5/12),17.87% (111/621)
src/openssl/crypto/bio/b_sock.c,1.14% (2/176),8.33% (1/12),0.75% (1/133)
src/openssl/crypto/bio/b_sock2.c,0.00% (0/150),0.00% (0/6),0.00% (0/163)
src/openssl/crypto/bio/bf_buff.c,0.00% (0/371),0.00% (0/9),0.00% (0/341)
src/openssl/crypto/bio/bio_err.c,100.00% (9/9),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/bio/bio_lib.c,1.74% (9/518),1.85% (1/54),0.21% (1/470)
src/openssl/crypto/bio/bio_meth.c,0.00% (0/130),0.00% (0/26),0.00% (0/71)
src/openssl/crypto/bio/bss_conn.c,0.00% (0/422),0.00% (0/13),0.00% (0/362)
src/openssl/crypto/bio/bss_file.c,8.02% (17/212),10.00% (1/10),6.12% (12/196)
src/openssl/crypto/bio/bss_mem.c,0.00% (0/244),0.00% (0/14),0.00% (0/200)
src/openssl/crypto/bio/bss_null.c,0.00% (0/39),0.00% (0/6),0.00% (0/33)
src/openssl/crypto/bio/bss_sock.c,0.00% (0/137),0.00% (0/10),0.00% (0/95)
src/openssl/crypto/blake2/blake2_impl.h,0.00% (0/94),0.00% (0/8),0.00% (0/26)
src/openssl/crypto/blake2/blake2b.c,0.00% (0/140),0.00% (0/7),0.00% (0/368)
src/openssl/crypto/blake2/blake2s.c,0.00% (0/137),0.00% (0/7),0.00% (0/314)
src/openssl/crypto/blake2/m_blake2b.c,25.00% (3/12),25.00% (1/4),25.00% (1/4)
src/openssl/crypto/blake2/m_blake2s.c,25.00% (3/12),25.00% (1/4),25.00% (1/4)
src/openssl/crypto/bn/asm/x86_64-gcc.c,0.00% (0/356),0.00% (0/10),0.00% (0/659)
src/openssl/crypto/bn/bn_add.c,0.00% (0/122),0.00% (0/4),0.00% (0/49)
src/openssl/crypto/bn/bn_blind.c,0.00% (0/196),0.00% (0/14),0.00% (0/193)
src/openssl/crypto/bn/bn_const.c,0.00% (0/460),0.00% (0/8),0.00% (0/8)
src/openssl/crypto/bn/bn_ctx.c,0.00% (0/154),0.00% (0/14),0.00% (0/130)
src/openssl/crypto/bn/bn_div.c,0.00% (0/140),0.00% (0/3),0.00% (0/118)
src/openssl/crypto/bn/bn_err.c,100.00% (9/9),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/bn/bn_exp.c,0.00% (0/820),0.00% (0/10),0.00% (0/758)
src/openssl/crypto/bn/bn_exp2.c,0.00% (0/148),0.00% (0/1),0.00% (0/159)
src/openssl/crypto/bn/bn_gcd.c,0.00% (0/346),0.00% (0/4),0.00% (0/316)
src/openssl/crypto/bn/bn_gf2m.c,0.00% (0/607),0.00% (0/20),0.00% (0/535)
src/openssl/crypto/bn/bn_intern.c,0.00% (0/119),0.00% (0/8),0.00% (0/100)
src/openssl/crypto/bn/bn_kron.c,0.00% (0/74),0.00% (0/1),0.00% (0/69)
src/openssl/crypto/bn/bn_lib.c,0.00% (0/687),0.00% (0/55),0.00% (0/564)
src/openssl/crypto/bn/bn_local.h,0.00% (0/9),0.00% (0/1),0.00% (0/17)
src/openssl/crypto/bn/bn_mod.c,0.00% (0/196),0.00% (0/13),0.00% (0/156)
src/openssl/crypto/bn/bn_mont.c,0.00% (0/238),0.00% (0/12),0.00% (0/181)
src/openssl/crypto/bn/bn_mul.c,0.00% (0/482),0.00% (0/8),0.00% (0/319)
src/openssl/crypto/bn/bn_nist.c,0.00% (0/585),0.00% (0/13),0.00% (0/1028)
src/openssl/crypto/bn/bn_prime.c,0.00% (0/267),0.00% (0/7),0.00% (0/350)
src/openssl/crypto/bn/bn_print.c,0.00% (0/254),0.00% (0/8),0.00% (0/248)
src/openssl/crypto/bn/bn_rand.c,0.00% (0/165),0.00% (0/10),0.00% (0/163)
src/openssl/crypto/bn/bn_recp.c,0.00% (0/131),0.00% (0/7),0.00% (0/107)
src/openssl/crypto/bn/bn_shift.c,0.00% (0/153),0.00% (0/6),0.00% (0/98)
src/openssl/crypto/bn/bn_sqr.c,0.00% (0/139),0.00% (0/4),0.00% (0/79)
src/openssl/crypto/bn/bn_sqrt.c,0.00% (0/206),0.00% (0/1),0.00% (0/231)
src/openssl/crypto/bn/bn_word.c,0.00% (0/140),0.00% (0/5),0.00% (0/118)
src/openssl/crypto/bn/rsaz_exp.c,0.00% (0/151),0.00% (0/2),0.00% (0/15)
src/openssl/crypto/buffer/buf_err.c,100.00% (9/9),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/buffer/buffer.c,0.00% (0/123),0.00% (0/7),0.00% (0/104)
src/openssl/crypto/camellia/cmll_misc.c,0.00% (0/14),0.00% (0/3),0.00% (0/15)
src/openssl/crypto/cast/c_cfb64.c,0.00% (0/52),0.00% (0/1),0.00% (0/21)
src/openssl/crypto/cast/c_ecb.c,0.00% (0/16),0.00% (0/1),0.00% (0/9)
src/openssl/crypto/cast/c_enc.c,0.00% (0/125),0.00% (0/3),0.00% (0/162)
src/openssl/crypto/cast/c_ofb64.c,0.00% (0/40),0.00% (0/1),0.00% (0/16)
src/openssl/crypto/cast/c_skey.c,0.00% (0/81),0.00% (0/1),0.00% (0/200)
src/openssl/crypto/cmac/cm_ameth.c,0.00% (0/7),0.00% (0/2),0.00% (0/3)
src/openssl/crypto/cmac/cm_pmeth.c,0.00% (0/67),0.00% (0/8),0.00% (0/55)
src/openssl/crypto/cmac/cmac.c,0.00% (0/153),0.00% (0/10),0.00% (0/128)
src/openssl/crypto/cms/cms_asn1.c,0.00% (0/97),0.00% (0/6),0.00% (0/68)
src/openssl/crypto/cms/cms_att.c,0.00% (0/124),0.00% (0/23),0.00% (0/88)
src/openssl/crypto/cms/cms_dd.c,0.00% (0/59),0.00% (0/3),0.00% (0/41)
src/openssl/crypto/cms/cms_enc.c,0.00% (0/155),0.00% (0/4),0.00% (0/157)
src/openssl/crypto/cms/cms_env.c,0.00% (0/645),0.00% (0/28),0.00% (0/570)
src/openssl/crypto/cms/cms_err.c,100.00% (9/9),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/cms/cms_io.c,0.00% (0/51),0.00% (0/8),0.00% (0/34)
src/openssl/crypto/cms/cms_kari.c,0.00% (0/300),0.00% (0/14),0.00% (0/280)
src/openssl/crypto/cms/cms_lib.c,0.00% (0/434),0.00% (0/27),0.00% (0/382)
